學年度	階段	學號	宿舍	房號						第一志願	870
105	第一志願	411528	十三宿	308							
105	第一志願	411544	十三宿	308							
105	第一志願	410729	十三宿	310							
105	第一志願	410805	十三宿	310							
105	第一志願	410833	十三宿	310							
105	第一志願	410851	十三宿	310							
105	第一志願	411024	十三宿	311							
105	第一志願	411033	十三宿	311							
105	第一志願	411101	十三宿	311							
105	第一志願	411107	十三宿	311							
105	第一志願	411604	十三宿	316							
105	第一志願	411613	十三宿	316							
105	第一志願	411618	十三宿	316							
105	第一志願	411622	十三宿	316							
105	第一志願	411010	十三宿	317							
105	第一志願	411023	十三宿	317							
105	第一志願	411038	十三宿	317							
105	第一志願	411040	十三宿	317							
105	第一志願	411501	十三宿	319							
105	第一志願	411545	十三宿	319							
105	第一志願	411553	十三宿	319							
105	第一志願	411554	十三宿	319							
105	第一志願	416009	十三宿	321							
105	第一志願	416049	十三宿	321							
105	第一志願	416091	十三宿	321							
105	第一志願	416229	十三宿	321							
105	第一志願	410135	十三宿	325							
105	第一志願	410155	十三宿	325							
105	第一志願	410158	十三宿	325							
105	第一志願	410186	十三宿	325							
105	第一志願	411603	十三宿	402							
105	第一志願	411609	十三宿	402							
105	第一志願	411615	十三宿	402							
105	第一志願	411623	十三宿	402							
105	第一志願	412001	十三宿	403							
105	第一志願	412005	十三宿	403							
105	第一志願	412018	十三宿	403							
105	第一志願	412107	十三宿	403							
105	第一志願	410126	十三宿	404							
105	第一志願	410142	十三宿	404							
105	第一志願	410151	十三宿	404							
105	第一志願	410173	十三宿	404							
105	第一志願	411019	十三宿	405							
105	第一志願	411026	十三宿	405							
105	第一志願	416054	十三宿	405							
105	第一志願	416095	十三宿	405							
105	第一志願	417030	十三宿	409							
105	第一志願	417034	十三宿	409							
105	第一志願	417038	十三宿	409							
105	第一志願	417070	十三宿	409							
105	第一志願	412008	十三宿	410							
105	第一志願	412104	十三宿	410							
105	第一志願	412106	十三宿	410							
105	第一志願	412111	十三宿	410							
105	第一志願	410001	十三宿	411							
105	第一志願	410019	十三宿	411							
105	第一志願	410024	十三宿	411							
105	第一志願	410028	十三宿	411							
105	第一志願	410745	十三宿	413							
105	第一志願	410757	十三宿	413							
105	第一志願	410797	十三宿	413							
105	第一志願	410813	十三宿	413							
105	第一志願	411012	十三宿	415							
105	第一志願	411027	十三宿	415							
105	第一志願	411052	十三宿	415							
105	第一志願	411094	十三宿	415							
105	第一志願	213107	十三宿	423							
105	第一志願	213131	十三宿	423							
105	第一志願	213139	十三宿	423							
105	第一志願	213150	十三宿	423							
105	第一志願	413307	十三宿	425							
105	第一志願	413309	十三宿	425							
105	第一志願	413320	十三宿	425							
105	第一志願	413347	十三宿	425							
105	第一志願	411504	十三宿	426							
105	第一志願	411511	十三宿	426							
105	第一志願	411521	十三宿	426							
105	第一志願	411537	十三宿	426							
105	第一志願	413312	十三宿	501							
105	第一志願	413318	十三宿	501							
105	第一志願	413343	十三宿	501							
105	第一志願	413354	十三宿	501							
105	第一志願	410505	十三宿	504							
105	第一志願	410511	十三宿	504							
105	第一志願	410522	十三宿	504							
105	第一志願	410536	十三宿	504							
105	第一志願	413306	十三宿	506							
105	第一志願	413319	十三宿	506							
105	第一志願	413322	十三宿	506							
105	第一志願	413323	十三宿	506							
105	第一志願	416051	十三宿	507							
105	第一志願	416204	十三宿	507							
105	第一志願	416226	十三宿	507							
105	第一志願	416239	十三宿	507							
105	第一志願	416022	十三宿	509							
105	第一志願	416025	十三宿	509							
105	第一志願	416061	十三宿	509							
105	第一志願	416081	十三宿	509							
105	第一志願	210136	十三宿	510							
105	第一志願	210149	十三宿	510							
105	第一志願	210152	十三宿	510							
105	第一志願	210173	十三宿	510							
105	第一志願	411508	十三宿	512							
105	第一志願	411515	十三宿	512							
105	第一志願	411520	十三宿	512							
105	第一志願	411527	十三宿	512							
105	第一志願	410721	十三宿	513							
105	第一志願	410766	十三宿	513							
105	第一志願	410831	十三宿	513							
105	第一志願	410837	十三宿	513							
105	第一志願	410101	十三宿	515							
105	第一志願	410108	十三宿	515							
105	第一志願	410147	十三宿	515							
105	第一志願	410164	十三宿	515							
105	第一志願	216026	十三宿	518							
105	第一志願	216070	十三宿	518							
105	第一志願	216079	十三宿	518							
105	第一志願	216098	十三宿	518							
105	第一志願	310505	十三宿	519							
105	第一志願	310508	十三宿	519							
105	第一志願	310532	十三宿	519							
105	第一志願	310534	十三宿	519							
105	第一志願	411512	十三宿	520							
105	第一志願	411522	十三宿	520							
105	第一志願	411526	十三宿	520							
105	第一志願	411557	十三宿	520							
105	第一志願	410873	十三宿	522							
105	第一志願	410877	十三宿	522							
105	第一志願	412259	十三宿	522							
105	第一志願	412262	十三宿	522							
105	第一志願	412205	十三宿	523							
105	第一志願	412230	十三宿	523							
105	第一志願	412241	十三宿	523							
105	第一志願	412252	十三宿	523							
105	第一志願	212003	十三宿	524							
105	第一志願	212008	十三宿	524							
105	第一志願	212018	十三宿	524							
105	第一志願	212025	十三宿	524							
105	第一志願	410722	十三宿	602							
105	第一志願	410762	十三宿	602							
105	第一志願	410839	十三宿	602							
105	第一志願	410842	十三宿	602							
105	第一志願	419001	十三宿	603							
105	第一志願	419023	十三宿	603							
105	第一志願	419037	十三宿	603							
105	第一志願	419043	十三宿	603							
105	第一志願	311117	十三宿	604							
105	第一志願	311118	十三宿	604							
105	第一志願	311119	十三宿	604							
105	第一志願	311120	十三宿	604							
105	第一志願	410736	十三宿	605							
105	第一志願	410769	十三宿	605							
105	第一志願	410777	十三宿	605							
105	第一志願	410814	十三宿	605							
105	第一志願	213202	十三宿	606							
105	第一志願	213249	十三宿	606							
105	第一志願	213251	十三宿	606							
105	第一志願	413244	十三宿	606							
105	第一志願	413216	十三宿	607							
105	第一志願	413221	十三宿	607							
105	第一志願	413224	十三宿	607							
105	第一志願	413249	十三宿	607							
105	第一志願	410106	十三宿	608							
105	第一志願	410123	十三宿	608							
105	第一志願	410154	十三宿	608							
105	第一志願	410166	十三宿	608							
105	第一志願	413210	十三宿	609							
105	第一志願	413232	十三宿	609							
105	第一志願	413237	十三宿	609							
105	第一志願	413246	十三宿	609							
105	第一志願	413147	十三宿	612							
105	第一志願	413242	十三宿	612							
105	第一志願	413243	十三宿	612							
105	第一志願	413250	十三宿	612							
105	第一志願	411025	十三宿	613							
105	第一志願	411039	十三宿	613							
105	第一志願	411076	十三宿	613							
105	第一志願	411085	十三宿	613							
105	第一志願	410188	十三宿	616							
105	第一志願	413227	十三宿	616							
105	第一志願	413228	十三宿	616							
105	第一志願	413257	十三宿	616							
105	第一志願	410103	十三宿	618							
105	第一志願	410120	十三宿	618							
105	第一志願	410169	十三宿	618							
105	第一志願	410175	十三宿	618							
105	第一志願	410710	十三宿	620							
105	第一志願	410725	十三宿	620							
105	第一志願	410746	十三宿	620							
105	第一志願	410849	十三宿	620							
105	第一志願	410506	十三宿	621							
105	第一志願	410513	十三宿	621							
105	第一志願	410519	十三宿	621							
105	第一志願	410534	十三宿	621							
105	第一志願	210138	十三宿	625							
105	第一志願	210156	十三宿	625							
105	第一志願	210177	十三宿	625							
105	第一志願	210184	十三宿	625							
105	第一志願	411507	十三宿	626							
105	第一志願	411510	十三宿	626							
105	第一志願	411533	十三宿	626							
105	第一志願	411535	十三宿	626							
105	第一志願	411514	十三宿	701							
105	第一志願	411531	十三宿	701							
